시군구,번지,건물명,전월세구분,전용면적(㎡),보증금(만원),월세금(만원),도로명,주택유형
서울특별시 강남구 개포동,1237-16,아택원빌딩,전세,84.14,"60,765",0,논현로18길 15,연립다세대
서울특별시 강남구 개포동,1257-11,삼성나동,월세,51.49,"14,000",15,개포로25길 3-12,연립다세대
서울특별시 광진구 군자동,504,대명이튼캐슬,월세,24.28,"27,000",5,군자로10길 17,연립다세대
서울특별시 종로구 홍파동,2-22,석촌빌라,전세,58.0,"32,000",0,송월1길 44-6,연립다세대
서울특별시 중랑구 중화동,319-26,윤하빌리,월세,34.06,"13,000",10,중랑역로3나길 52,연립다세대
서울특별시 성북구 삼선동4가,323,(323-0),월세,18.45,"1,000",70,삼선교로23가길 5,연립다세대
서울특별시 광진구 중곡동,166-21,연리지,월세,39.08,"28,000",63,긴고랑로13길 66,연립다세대
서울특별시 동대문구 용두동,27-25,진(jin)-하우스,월세,12.58,"1,000",47,고산자로30길 15,연립다세대
서울특별시 강남구 역삼동,740-20,모닝홈,전세,29.5,"21,500",0,논현로79길 32,연립다세대
서울특별시 용산구 청파동3가,134-1,더클래스용산A,전세,23.71,"24,500",0,원효로89길 18-27,연립다세대
서울특별시 광진구 구의동,242-108,242-108,전세,36.51,"22,000",0,자양로22길 74-13,연립다세대
서울특별시 성동구 행당동,302-1,에비뉴힐,전세,48.3,"38,000",0,왕십리로21마길 21,연립다세대
서울특별시 용산구 후암동,406-7,(406-7),월세,27.08,"1,500",50,두텁바위로40길 15,연립다세대
서울특별시 송파구 석촌동,291-14,(291-14),월세,53.59,"9,000",84,백제고분로40길 19-6,연립다세대
서울특별시 송파구 석촌동,155-6,석촌호수빌라,전세,56.4,"24,300",0,석촌호수로20길 14,연립다세대
서울특별시 강동구 천호동,322-34,아트팰리스,월세,39.29,"19,100",30,올림픽로87길 6-12,연립다세대
서울특별시 강동구 천호동,339-44,선싸인빌,월세,20.63,"14,170",6,구천면로17길 17,연립다세대
서울특별시 강동구 천호동,339-44,선싸인빌,전세,43.99,"26,625",0,구천면로17길 17,연립다세대
서울특별시 강동구 명일동,105,그라시아,월세,19.66,"3,000",82,동남로65길 26-16,연립다세대
서울특별시 송파구 잠실동,216-16,(216-16),전세,99.63,"11,000",0,백제고분로13길 12,연립다세대
